title	revenue	budget	genres	release_date	runtime	vote_average	vote_count
Mirror Mirror	183018522	85000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 878, "name": "Science Fiction"}, {"id": 10751, "name": "Family"}]	2012-03-15	106	5.5	1114
Scott Pilgrim vs. the World	47664559	60000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}]	2010-07-27	112	7.2	2126
The Core	74208267	60000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2003-03-28	136	5.4	516
Nutty Professor II: The Klumps	123307945	84000000	[{"id": 14, "name": "Fantasy"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}, {"id": 878, "name": "Science Fiction"}]	2000-07-27	106	4.7	332
Scooby-Doo	275650703	84000000	[{"id": 9648, "name": "Mystery"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}]	2002-06-14	88	5.4	820
Dredd	41037742	50000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2012-09-07	95	6.6	1940
Click	237681299	82500000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 14, "name": "Fantasy"}, {"id": 10749, "name": "Romance"}]	2006-06-22	107	6	2104
Creepshow	21028755	8000000	[{"id": 27, "name": "Horror"}, {"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}]	1982-11-12	120	6.7	226
Cats & Dogs 2 : The Revenge of Kitty Galore	112483764	85000000	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2010-07-30	82	4.9	119
Jumper	222231186	85000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2008-02-10	88	5.9	1799
Hellboy II: The Golden Army	160388063	85000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	2008-07-11	120	6.5	1527
Zodiac	84785914	65000000	[{"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2007-03-02	157	7.3	2023
The 6th Day	96085477	82000000	[{"id": 878, "name": "Science Fiction"}]	2000-11-17	123	5.7	595
Bruce Almighty	484572835	80000000	[{"id": 14, "name": "Fantasy"}, {"id": 35, "name": "Comedy"}]	2003-05-23	101	6.4	3012
The Expendables	274470394	80000000	[{"id": 53, "name": "Thriller"}, {"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}]	2010-08-03	103	6	2926
Mission: Impossible	457696359	80000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}]	1996-05-22	110	6.7	2631
The Hunger Games	691210692	75000000	[{"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}]	2012-03-12	142	6.9	9455
The Hangover Part II	254455986	80000000	[{"id": 35, "name": "Comedy"}]	2011-05-25	102	6.2	3739
Batman Returns	280000000	80000000	[{"id": 28, "name": "Action"}, {"id": 14, "name": "Fantasy"}]	1992-06-19	126	6.6	1673
Over the Hedge	343397247	80000000	[{"id": 35, "name": "Comedy"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2006-04-22	83	6.3	1074
Lilo & Stitch	145771527	80000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2002-06-21	85	7.1	1314
Charlotte's Web	144000000	85000000	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2006-12-15	97	5.8	288
Deep Impact	140464664	75000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	1998-05-08	120	5.9	855
RED 2	0	84000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2013-07-18	116	6.4	1526
The Longest Yard	190320568	82000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2005-05-19	113	6.2	785
Alvin and the Chipmunks: Chipwrecked	342695435	75000000	[{"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}, {"id": 10751, "name": "Family"}, {"id": 10402, "name": "Music"}, {"id": 16, "name": "Animation"}]	2011-12-14	87	5.4	484
Grown Ups 2	246984278	80000000	[{"id": 35, "name": "Comedy"}]	2013-07-11	100	5.8	1155
Get Smart	230685453	80000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}]	2008-06-19	110	6	1051
Something's Gotta Give	266728738	80000000	[{"id": 18, "name": "Drama"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2003-12-12	128	6.3	410
Shutter Island	294804195	80000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}, {"id": 9648, "name": "Mystery"}]	2010-02-18	138	7.8	6336
Four Christmases	163733697	80000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}, {"id": 18, "name": "Drama"}]	2008-11-26	88	5.3	331
Robots	260696994	75000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 878, "name": "Science Fiction"}]	2005-03-10	91	6	1333
Face/Off	245676146	80000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	1997-06-27	138	6.8	1583
Bedtime Stories	212874442	80000000	[{"id": 14, "name": "Fantasy"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 10749, "name": "Romance"}]	2008-12-24	99	5.9	901
Road to Perdition	181001478	80000000	[{"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}, {"id": 18, "name": "Drama"}]	2002-07-12	117	7.3	1077
Just Go with It	214918407	80000000	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}]	2011-02-10	117	6.3	1543
Con Air	224012234	75000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	1997-06-01	115	6.5	1270
Eagle Eye	178066569	80000000	[{"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}, {"id": 28, "name": "Action"}]	2008-09-25	118	6.3	1018
Cold Mountain	173013509	79000000	[{"id": 18, "name": "Drama"}]	2003-12-24	154	6.7	533
The Book of Eli	157107755	80000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2010-01-14	118	6.6	2164
Flubber	177977226	80000000	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 878, "name": "Science Fiction"}]	1997-11-26	93	5.3	695
The Haunting	91188905	80000000	[{"id": 27, "name": "Horror"}, {"id": 53, "name": "Thriller"}, {"id": 14, "name": "Fantasy"}, {"id": 9648, "name": "Mystery"}]	1999-07-23	113	5.2	369
Space Jam	250200000	80000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	1996-11-15	88	6.5	1288
The Pink Panther	0	0	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 9648, "name": "Mystery"}, {"id": 10751, "name": "Family"}]	2006-01-18	93	5.6	550
The Day the Earth Stood Still	233093859	80000000	[{"id": 18, "name": "Drama"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2008-12-10	104	5.2	1043
Conspiracy Theory	136982834	75000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	1997-08-07	135	6.5	431
Fury	211817906	68000000	[{"id": 10752, "name": "War"}, {"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}]	2014-10-15	135	7.4	3946
Six Days Seven Nights	164000000	70000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	1998-06-12	98	5.6	332
Yogi Bear	201584141	80000000	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}]	2010-12-11	80	5.2	220
Spirit: Stallion of the Cimarron	122563539	80000000	[{"id": 37, "name": "Western"}, {"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2002-05-24	83	7.4	831
Zookeeper	169852759	80000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}, {"id": 10751, "name": "Family"}]	2011-07-06	102	5.3	498
Lost in Space	136159423	80000000	[{"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 878, "name": "Science Fiction"}]	1998-04-03	130	5	388
The Manchurian Candidate	96105964	80000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}, {"id": 9648, "name": "Mystery"}]	2004-07-30	129	6.2	393
Déjà Vu	0	0	[{"id": 10749, "name": "Romance"}, {"id": 18, "name": "Drama"}]	1998-04-22	117	8	1
Hotel Transylvania 2	473226958	80000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2015-09-21	89	6.7	1497
Fantasia 2000	90874570	80000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 10402, "name": "Music"}]	1999-12-17	74	7	292
The Time Machine	123729176	80000000	[{"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}]	2002-03-04	96	5.8	631
Mighty Joe Young	0	90000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	1998-12-25	114	5.9	208
Swordfish	147080413	102000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2001-06-07	99	6.1	932
The Legend of Zorro	142400065	75000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2005-10-24	129	5.9	893
What Dreams May Come	71485043	85000000	[{"id": 18, "name": "Drama"}, {"id": 14, "name": "Fantasy"}, {"id": 10749, "name": "Romance"}]	1998-10-02	113	6.8	577
Little Nicky	0	85000000	[{"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}, {"id": 10749, "name": "Romance"}]	2000-11-10	90	5.2	438
The Brothers Grimm	105316267	88000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}]	2005-08-26	118	5.6	818
Mars Attacks!	101371017	70000000	[{"id": 35, "name": "Comedy"}, {"id": 14, "name": "Fantasy"}, {"id": 878, "name": "Science Fiction"}]	1996-12-12	106	6.1	1509
Evolution	0	0	[{"id": 9648, "name": "Mystery"}, {"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}]	2015-09-14	81	6.4	47
The Edge	43312294	0	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}]	1997-09-06	117	6.7	349
Surrogates	122444772	80000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2009-09-24	89	5.9	1195
Thirteen Days	34566746	80000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2000-12-24	145	6.9	189
Daylight	159212469	80000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 53, "name": "Thriller"}]	1996-12-06	115	5.8	378
Walking With Dinosaurs	126546518	80000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 12, "name": "Adventure"}]	2013-12-18	87	5.2	133
Battlefield Earth	21400000	44000000	[{"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 10752, "name": "War"}]	2000-05-10	118	3	255
Looney Tunes: Back in Action	68514844	80000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2003-11-14	90	5.6	297
Nine	53825515	80000000	[{"id": 18, "name": "Drama"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}]	2009-12-03	112	5.1	165
Timeline	19480739	80000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	2003-11-26	116	5.4	318
The Postman	17626234	80000000	[{"id": 18, "name": "Drama"}, {"id": 12, "name": "Adventure"}]	1997-12-25	177	6.1	299
Babe: Pig in the City	69131860	90000000	[{"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	1998-11-25	92	5.2	305
The Last Witch Hunter	146936910	90000000	[{"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2015-10-21	106	5.7	1316
Red Planet	33463969	80000000	[{"id": 53, "name": "Thriller"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2000-11-10	106	5.4	267
Arthur and the Invisibles	107944236	86000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2006-12-13	94	6	639
Oceans	19406406	0	[{"id": 99, "name": "Documentary"}, {"id": 10751, "name": "Family"}]	2009-10-17	84	7.3	111
A Sound of Thunder	5989640	80000000	[{"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}, {"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}]	2005-05-15	110	4.8	111
Pompeii	117831631	130000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 36, "name": "History"}, {"id": 10749, "name": "Romance"}, {"id": 18, "name": "Drama"}]	2014-02-18	105	5.2	1267
Top Cat Begins	0	8000000	[{"id": 35, "name": "Comedy"}, {"id": 16, "name": "Animation"}]	2015-10-30	89	5.3	9
A Beautiful Mind	313542341	60000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2001-12-11	135	7.7	3009
The Lion King	788241776	45000000	[{"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}, {"id": 18, "name": "Drama"}]	1994-06-23	89	8	5376
Journey 2: The Mysterious Island	355692760	79000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2012-01-19	94	5.8	1030
Cloudy with a Chance of Meatballs 2	248384621	78000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 35, "name": "Comedy"}]	2013-09-26	95	6.4	915
Red Dragon	209196298	78000000	[{"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}, {"id": 27, "name": "Horror"}]	2002-09-29	124	6.7	1115
Hidalgo	108103450	100000000	[{"id": 37, "name": "Western"}, {"id": 12, "name": "Adventure"}]	2004-03-05	136	6.5	318
Jack and Jill	149673788	79000000	[{"id": 35, "name": "Comedy"}]	2011-11-11	91	4.1	604
2 Fast 2 Furious	236350661	76000000	[{"id": 28, "name": "Action"}, {"id": 80, "name": "Crime"}, {"id": 53, "name": "Thriller"}]	2003-06-05	107	6.2	2028
The Little Prince	97571250	64000000	[{"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 14, "name": "Fantasy"}]	2015-07-29	92	7.6	756
The Invasion	15071514	80000000	[{"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2007-08-17	99	5.7	359
The Adventures of Rocky & Bullwinkle	35134820	76000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2000-06-30	88	3.9	87
The Secret Life of Pets	875958308	75000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}]	2016-06-18	87	5.9	3462
The League of Extraordinary Gentlemen	179265204	78000000	[{"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2003-07-11	110	5.7	1155
Despicable Me 2	970761885	76000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2013-06-25	98	7	4637
Independence Day	816969268	75000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 878, "name": "Science Fiction"}]	1996-06-25	145	6.7	3260
The Lost World: Jurassic Park	229074524	73000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	1997-05-23	129	6.2	2487
Madagascar	532680671	75000000	[{"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}]	2005-05-25	86	6.6	3237
Children of Men	69959751	76000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}]	2006-09-22	109	7.4	2071
X-Men	296339527	75000000	[{"id": 12, "name": "Adventure"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}]	2000-07-13	104	6.8	4097
Wanted	258270008	75000000	[{"id": 28, "name": "Action"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2008-06-19	110	6.4	2528
The Rock	335062621	75000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 53, "name": "Thriller"}]	1996-06-06	136	6.9	1456
Ice Age: The Meltdown	660940780	80000000	[{"id": 16, "name": "Animation"}, {"id": 10751, "name": "Family"}, {"id": 35, "name": "Comedy"}, {"id": 12, "name": "Adventure"}]	2006-03-23	91	6.5	2951
50 First Dates	196482882	75000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	2004-02-13	99	6.6	2105
Hairspray	90450008	50000000	[{"id": 10751, "name": "Family"}, {"id": 35, "name": "Comedy"}, {"id": 10402, "name": "Music"}, {"id": 10749, "name": "Romance"}]	2007-07-13	117	6.5	709
Exorcist: The Beginning	78000586	80000000	[{"id": 27, "name": "Horror"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2004-08-20	114	4.7	183
Inspector Gadget	0	75000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	1999-07-23	78	4.3	318
Now You See Me	117698894	75000000	[{"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2013-05-29	115	7.3	5487
Grown Ups	271430189	80000000	[{"id": 35, "name": "Comedy"}]	2010-06-24	102	6	1705
The Terminal	219417255	60000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2004-06-17	128	7	1910
Hotel for Dogs	73034460	35000000	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2009-01-16	100	5.7	202
Vertical Limit	215663859	75000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 53, "name": "Thriller"}]	2000-12-08	124	5.9	283
Charlie Wilson's War	119000410	75000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}]	2007-12-19	102	6.5	338
Shark Tale	367275019	75000000	[{"id": 16, "name": "Animation"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2004-09-20	90	5.8	1557
Dreamgirls	154937680	70000000	[{"id": 18, "name": "Drama"}]	2006-12-25	134	6.6	284
Be Cool	95226116	53000000	[{"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}]	2005-03-04	118	5.4	292
Munich	130358911	70000000	[{"id": 18, "name": "Drama"}, {"id": 28, "name": "Action"}, {"id": 36, "name": "History"}, {"id": 53, "name": "Thriller"}]	2005-12-22	164	6.9	696
Tears of the Sun	85632458	70000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 10752, "name": "War"}]	2003-03-07	121	6.4	573
Killers	98159963	75000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}, {"id": 10749, "name": "Romance"}]	2010-06-04	100	5.7	772
The Man from U.N.C.L.E.	108145109	75000000	[{"id": 35, "name": "Comedy"}, {"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}]	2015-08-13	116	7.1	2265
Spanglish	55041367	80000000	[{"id": 35, "name": "Comedy"}]	2004-12-17	130	5.8	369
Monster House	140175006	75000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2006-07-21	91	6.3	874
Bandits	67631903	75000000	[{"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}, {"id": 80, "name": "Crime"}, {"id": 10749, "name": "Romance"}]	2001-10-12	123	6.2	302
First Knight	127600435	55000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	1995-07-07	134	5.9	311
Anna and the King	0	75000000	[{"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}, {"id": 10749, "name": "Romance"}]	1999-12-16	148	6.4	197
Immortals	226904017	75000000	[{"id": 14, "name": "Fantasy"}, {"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}]	2011-11-10	110	5.7	880
Hostage	77944725	52000000	[{"id": 9648, "name": "Mystery"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}, {"id": 80, "name": "Crime"}]	2005-03-09	113	6.2	512
Titan A.E.	36754634	75000000	[{"id": 16, "name": "Animation"}, {"id": 28, "name": "Action"}, {"id": 878, "name": "Science Fiction"}, {"id": 10751, "name": "Family"}, {"id": 12, "name": "Adventure"}]	2000-06-16	94	6.3	313
Hollywood Homicide	51142659	75000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 53, "name": "Thriller"}]	2003-06-09	116	5	166
Soldier	14567883	75000000	[{"id": 28, "name": "Action"}, {"id": 10752, "name": "War"}, {"id": 878, "name": "Science Fiction"}]	1998-10-23	99	6.1	221
Carriers	5802422	0	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 27, "name": "Horror"}, {"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}]	2009-09-04	84	5.8	282
Monkeybone	5409517	75000000	[{"id": 12, "name": "Adventure"}, {"id": 14, "name": "Fantasy"}, {"id": 16, "name": "Animation"}, {"id": 28, "name": "Action"}, {"id": 35, "name": "Comedy"}]	2001-02-23	93	4.3	78
Flight of the Phoenix	21009180	45000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}]	2004-12-17	113	5.7	276
Unbreakable	248118121	75000000	[{"id": 878, "name": "Science Fiction"}, {"id": 53, "name": "Thriller"}, {"id": 18, "name": "Drama"}]	2000-11-13	106	6.9	1946
Minions	1156730962	74000000	[{"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}]	2015-06-17	91	6.4	4571
Sucker Punch	89792502	82000000	[{"id": 28, "name": "Action"}, {"id": 14, "name": "Fantasy"}, {"id": 53, "name": "Thriller"}]	2011-03-24	110	5.9	1623
Snake Eyes	103891409	73000000	[{"id": 80, "name": "Crime"}, {"id": 9648, "name": "Mystery"}]	1998-08-07	98	5.8	327
Sphere	13100000	75000000	[{"id": 878, "name": "Science Fiction"}]	1998-02-13	134	5.8	476
The Angry Birds Movie	349779543	73000000	[{"id": 10751, "name": "Family"}, {"id": 16, "name": "Animation"}]	2016-05-11	97	5.9	1022
Fool's Gold	111231041	70000000	[{"id": 10749, "name": "Romance"}, {"id": 35, "name": "Comedy"}, {"id": 12, "name": "Adventure"}]	2008-02-07	112	5.4	444
Funny People	61458982	75000000	[{"id": 35, "name": "Comedy"}, {"id": 18, "name": "Drama"}]	2009-07-31	146	5.7	390
The Kingdom	86658558	70000000	[{"id": 53, "name": "Thriller"}, {"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}]	2007-08-22	110	6.5	513
Talladega Nights: The Ballad of Ricky Bobby	162966177	72500000	[{"id": 35, "name": "Comedy"}]	2006-08-04	116	6.2	491
Dr. Dolittle 2	176104344	70000000	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 10749, "name": "Romance"}, {"id": 14, "name": "Fantasy"}]	2001-06-22	87	4.9	410
Braveheart	210000000	72000000	[{"id": 28, "name": "Action"}, {"id": 18, "name": "Drama"}, {"id": 36, "name": "History"}, {"id": 10752, "name": "War"}]	1995-05-24	177	7.7	3336
Jarhead	96889998	72000000	[{"id": 18, "name": "Drama"}, {"id": 10752, "name": "War"}]	2005-11-04	125	6.6	765
The Simpsons Movie	527068851	75000000	[{"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2007-07-25	87	6.9	2264
The Majestic	37317558	72000000	[{"id": 18, "name": "Drama"}, {"id": 10749, "name": "Romance"}]	2001-12-21	152	6.6	188
Driven	54744738	94000000	[{"id": 28, "name": "Action"}]	2001-04-27	116	4.5	179
Two Brothers	62172050	74500000	[{"id": 12, "name": "Adventure"}, {"id": 18, "name": "Drama"}, {"id": 10751, "name": "Family"}]	2004-04-07	109	6.9	180
The Village	256697520	60000000	[{"id": 18, "name": "Drama"}, {"id": 9648, "name": "Mystery"}, {"id": 53, "name": "Thriller"}]	2004-07-30	108	6.2	1071
Doctor Dolittle	294456605	71000000	[{"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	1998-06-22	85	5.4	686
Signs	408247917	72000000	[{"id": 18, "name": "Drama"}, {"id": 53, "name": "Thriller"}, {"id": 878, "name": "Science Fiction"}, {"id": 9648, "name": "Mystery"}]	2002-08-02	106	6.4	1599
Shrek 2	919838758	150000000	[{"id": 12, "name": "Adventure"}, {"id": 16, "name": "Animation"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}, {"id": 14, "name": "Fantasy"}]	2004-05-19	93	6.7	2988
Cars	461983149	120000000	[{"id": 16, "name": "Animation"}, {"id": 12, "name": "Adventure"}, {"id": 35, "name": "Comedy"}, {"id": 10751, "name": "Family"}]	2006-06-08	117	6.6	3877
Runaway Bride	309457509	70000000	[{"id": 35, "name": "Comedy"}, {"id": 10749, "name": "Romance"}]	1999-07-30	116	5.7	455
xXx	277448382	70000000	[{"id": 28, "name": "Action"}, {"id": 12, "name": "Adventure"}, {"id": 53, "name": "Thriller"}]	2002-08-09	124	5.8	1424
